joke,category
"Melon et Melèche prennent une maison. Melon l’achète…


Et Melèche l’habite
",papa
"Est-ce qu’une poule peut parler anglais ?


Yes chicken !",papa
"Qu’est-ce qu’une duche ?


C’est une douche sans O",papa
"Comment on dit « lingerie coquine » en anglais ? 

Hot Couture.",papa
"

Dans un restaurant, un client dit : « Garçon, que fait cette mouche dans ma soupe ? »


Je pense que c’est de la brasse… mais je peux me tromper…",papa
"Je suis inquiet, je vois des points noirs.


– Tu a vu l’oculiste ?
– Non, des points noirs !",papa
"Au jour de l’an, 2 geeks discutent : -« Qu’est-ce que t’as pris comme résolution cette année ? 

– « 1024 x 768 »",papa
"C’est au moment où tu vois un moustique se poser sur tes testicules que tu te rends compte qu’il y a moyen de régler certains problèmes autrement que par la violence.

Lao-Tseu",papa
"Comment appelle-t-on des rats qui marchent en file indienne ? 

Une rallonge…",papa
"Qu’est ce qu’un chat bossu ?

  Un chameau",papa
"Les ciseaux à bois, 

les chiens aussi.",papa
"Que dit un oignon quand il se cogne ?


Ail",papa
"Hier j’ai vu une mouche écrasée sur un mur. 

Elle devait voler super vite.",papa
"Que dit le juge au manchot ?

« Allez allez, témoignons »",papa
"Quelle sorte de melon donne du lait ? 

Le mamelon",papa
"Quels sont les animaux qu’on retrouve en grand nombre dans la montagne ? 

Les chats laids",papa
"Un jour, Dieu demanda au coca de coller…


et le Coca Cola…",papa
"Pourquoi le patinage artistique est pénible ?


Car le patin agace",papa
"Que s’est-il passé en 1111 ?


L’invasion des huns.",papa
"Quelle est la différence entre tintin et milou ?


Milou n’a pas de chien …",papa
"« Chéri, je me sens grosse et laide…S’il te plait, fais-moi un compliment… « 


Tu as une bonne vue !",papa
"Que disent les maitres nageurs à nouvel an ? 


Bonne apnée !",papa
"Amusez-vous avec le le jeu Jokes de papa


au meilleur prix garanti !",papa
"Est-ce que les poissons aiment les blagues de papa ?

Ils s’en fichent !",papa
"C’est l’histoire d’une girafe qui va dans un bar,

 pour boire un coup",papa
"Quel est le fromage préféré de Brigitte Macron ?


Le Président",papa
"Si deux sourds se battent, 

ca doit être sûrement un malentendu.",papa
"Dans un restaurant, un client dit :

– Garçon, que fait cette mouche dans ma soupe ?
– Je pense que c’est de la brasse… mais je peux me tromper…",papa
"Où va le chien de traîneau pour ses vacances ? 

Il va husky",papa
"Pourquoi n’ y a t-il plus de mammouth ?


Parce qu’il n’y a plus de papmouth",papa
"Plus y a de gruyère, plus y a de trous.
Et plus y a de trous, moins y a de gruyère.
Donc plus y a de gruyère, moins y a de gruyère.",math
"Les amis de mes amis sont mes amis,
Les amis de mes ennemis sont mes ennemis,
Les ennemis de mes amis sont mes ennemis,
Les ennemis de mes ennemis sont mes amis.

*Une illustration appropriées de la règle des signes !*",math
"L'arithmétique, c'est être capable de compter jusqu'à vingt sans enlever ses chaussures.

*Walt Disney*",math
"A la question "" Combien font 2 + 3 ? "" l'élève français répond 3 + 2 car l'addition est commutative.
Il ne sais pas ce que vaut l'addition et ne comprend pas le sens de la question.

*Vladimir Arnol'd*",math
"Il n'y a pas de problème
Il n'y a que des professeurs.

*Jacques Prévert*",math
"Chaque fois que je vois le nombre 1, j'ai envie de l'aider à s'échapper... Il a constamment à ses trousses, derrière, le zéro qui veut le rattraper et devant, toute la mafia des grands nombres qui le guettent.

*Romain Gary*",math
"Les maths, c'est comme l'amour. Une idée simple mais qui peut parfois se compliquer.

*Robert Drabek*",math
"A l'école, en algèbre, j'étais du genre Einstein. Mais plutôt Franck qu'Albert.

*Philippe Geluck*",math
"- Quelle est votre principale qualité ?
- Je suis très rapide en calcul mental.
- 23 x 547 ?
- 56
- Mais c'est faux !
- Oui mais c'est rapide !",math
"Il y a trois sortes de mathématiciens : ceux qui savent compter et ceux qui ne savent pas.

*Benjamin Doreca*",math
"En essayant continuellement, on finit par réussir. Donc plus ça rate, plus on a de chances que ça marche.

*Les Shadocks*",math
"Deux choses sont infinies : l’univers et la bêtise humaine ; mais en ce qui concerne l’univers, je n’en ai pas encore acquis la certitude absolue.

*Albert Einstein*",math
"’abscisse est la cruelle Maîtresse de l'ordonnée. À Peine se sont-elles croisées qu'elles enfantent, baptisent et domicilient un petit point dont il faut reconnaître - à regret - qu'elles ne prennent aucun soin. L’abscisse en effet n'a de cesse que de rencontrer une nouvelle ordonnée (plus jeune, plus belle), à laquelle elle fera illico un nouveau petit point unique, qu'elle abandonnera comme le précédent, le vouant le plus souvent à la solitude paranoïaque des corps totalement ordonnés.

*Marie Desplechin*",math
"Pascal combattait ses maux de tête avec des problèmes de géométrie ... Moi, je combattais la géométrie en feignant d'avoir des maux de tête ...

*Tristan Bernard*",math
"A propos de l'intelligence artificielle :
Des algorithmes malins qui permettent à des machines crétines de résoudre des taches complexes.

*Cédric Villani*",math
"Ce qui est affirmé sans preuve peut être nié sans preuve.

*Euclide d’Alexandrie*",math
"Géométrie politique : le carré de l'hypoténuse parlementaire est égal à la somme de l'imbécilité construite sur ses deux côtés extrêmes.

*Pierre Dac*",math
"La théorie, c'est quand on sait tout et que rien ne fonctionne.
La pratique, c'est quand tout fonctionne et que personne ne sait pourquoi.

*Albert Einstein*",math
"Rien n'est plus proche du vrai que le faux.

*Albert Einstein*",math
"Les mathématiques sont la seule science où on ne sait pas de quoi on parle ni si ce qu'on dit est vrai.

*Bertrand Russell*",math
"Comtesse, notre amour est construit selon le théorème de Thalès : Quand nous sommes horizontaux et parallèles, les transversales de la passion nous transpercent, et nos segments correspondants en sont merveilleusement proportionnels.

*Les Luthiers*",math
Le volume d'une pizza de rayon z et d'épaisseur a est : **pi.z.z.a**,math
"Quelle est la différence entre un diamètre et un rayon ?
Un rayon !",math
"**IR** a été inventé pour combler les trous de **Q**.

*Sergey Bernikov*",math
"L'amour c'est comme l'arithmétique : ça commence par un Bézout, on s'envoie Euler dans Lagrange, et ça finit par des Gauss.",math
"Un mathématicien se réveille et sent de la fumée.
Il sort dans le couloir et voit des flammes.
Il réfléchit un moment et s'exclame : ""Ah ! Il existe une solution !"" 
Puis il retourne se coucher.",math
"Trois statisticiens partent chasser le canard.
Leur chien court après un canard qui s'envole.
Le premier statisticien lève son fusil et le vise, mais tire un peu trop haut.
Le second lève à son tour son fusil et vise, mais tire un peu trop bas.
Le troisième s'écrie alors : ""On l'a eu !"".",math
"Un mathématicien déjeune au restaurant.
Le serveur lui demande : ""Fromage ou dessert ?"".
Le mathématicien répond ""oui"".",math
"- Un mathématicien a été dévalisé commissaire.
- Pas de traces des fractions ?
- Non, le voleur a pris la tangente, mais il népérien pour attendre.
- La porte a été défoncée en des π du bon sens, il y a des inconnues dans cette affaire, mais il ne pourra se soustraire à la justice.

*Marc Hillman*",math
"- Tu veux une blague ?
- Oui
- 6x²+3x+2
- Je n'ai pas compris ?
- Normal, c'est du second degrés",math
"x² se promène dans la forêt et soudain il tombe. En se relevant, il perd son carré. Pourquoi ?
Il s'est pris une racine !",math
"- Calcule la limite de sin(x)/n lorsque n tend vers l'infini.
- Facile ! C'est six !
- Ah bon... ? Comment tu as fait ?
- Bah, j'ai simplifié par n !",math
"Tous les mercredis, Pythagore, Neper, Descartes et Thalès jouent à la belote.
Mais aujourd’hui, Descartes qui devait amener le jeu se fait attendre. 
Pythagore s’exclame : « Comment on va faire pour jouer ? Il nous faut des cartes ! »",math
"La maitresse : ""Combien de fois peut-on soustraire 7 de 83, et combien reste-t-il à la fin ?"".
Toto : ""On peut le faire autant de fois qu'on le veut, et il reste 76 à chaque fois.""",math
"On pose les questions suivantes à un physicien et à un mathématicien : « Supposons que vous marchez près d'une maison en feu ; vous voyez une bouche d'incendie et un tuyau d'arrosage qui n'y est pas lié. Que faites-vous? »
Le physicien: « Je lie le tuyau à la bouche d'incendie, j'active la sortie d'eau, et j'éteins le feu. »
Le mathématicien : « Je lie le tuyau à la bouche d'incendie, j'active la sortie d'eau, et j'éteins le feu. »
Puis on leur pose cette question : « Supposons que vous marchez près d'une maison ; vous voyez une bouche d'incendie et un tuyau d'arrosage qui y est Iié. Que faites-vous ? »
Le physicien : « Je continue ma marche, puisqu'il n'y a pas de problème à résoudre. »
Le mathématicien : « Je déconnecte le tuyau de la bouche d'incendie et je mets le feu à la maison, réduisant le problème à un cas précédemment résolu. »",math
"1/2 + 1/4 + 1/8 + … ça vaut :
Le mathématicien : ""1""
Le physicien : ""0,999999999""
Le statisticien : ""Vous préférez que ça fasse combien ?",math
"Une femme dit à son mari mathématicien :
- J'ai peur que tu m'aimes moins que les maths...
- Absurde, je t'aime plus que tout.
- Prouve-le !
- OK. Soit A l'ensemble de tous les êtres aimables...",math
"C'est exp et ln qui sont au restaurant. Qui paie l'addition ?
C'est exp car logarithme ne paie rien (népérien).",math
"ln(x) et exp(x) sont sur un bateau.
Tout à coup ln(x) s'écrit :
- Au secours, on dérive !
Exp(x) répond :
- Je m'en fiche !",math
"Question : Jésus vient voir ses disciples et leur dit : ""y=1/x""
Ils se regardent tous, ils n'ont rien compris. Pourquoi ?
Réponse : D'habitude, Jésus parle en paraboles et ""y=1/x"" est une hyperbole.",math
"Savez vous comment les mathématiciens le font ?
Les experts en combinatoire le font de toutes les manières possibles.
Les topologistes le font discrètement.
Les algébristes le font en groupe.
Les analystes le font continûment.
Galois l'a fait la nuit juste avant.
Möbius le fait toujours du même côté.
Klein le fait simultanément dedans et dehors.
Markov le fait à la chaîne.
Archimède le fait dans sa baignoire.
Bourbaki le fait dans un cas particulier du théorème 10.2.5 en utilisant subtilement le lemme 7.3.2.",math
"Deux éléphants dont un impuissant (ben oui ca arrive aussi chez les éléphants !) sont au bord de l'eau avec un jeune éléphanteau.
Question  : qui est le père de l'éléphanteau ?

Réponse : l'impuissant car l'heureux père barrit sans trique.",papa
"Un feu se déclare ;
Réaction de l'ingénieur : il prend un seau d'eau et éteint le feu.
Réaction du physicien : après avoir mesuré la hauteur de la flamme, la pression, la température etc..., il calcule la quantité minimale d'eau pour éteindre la flamme.
Réaction du mathématicien : ""d'après le corollaire I. IV. II du théorème I. IV. I., il existe une solution pour éteindre ce feu"".",math
"Un ingénieur et un physicien font une promenade en ballon. 
Il faisait beau au départ, mais le temps se couvre, et ils finissent par se perdre complètement dans les nuages. 
Par chance, il y a une éclaircie, et ils voient quelqu'un au sol. Il lui crient :
- Où sommes nouuuuuuuuuuuuuus?
Et la personne répond :
- Dans un balloooooooooooon.
Ah, dit l'ingénieur au physicien, c'est sûrement un mathématicien qui a répondu. 
Mais comment le sais-tu? demande le physicien. 
C'est qu'il satisfait deux propriétés caractéristiques :
(1) la réponse est parfaitement exacte ;
(2) elle est également parfaitement inutile. ",math
"Comment démontrer que tous les nombres impairs > 2 sont premiers :

Le matheux :
3 est premier, 5 est premier, 7 est premier, et par une récurrence immédiate, tous les nombres impairs sont premiers à partir de 3.

Le physicien :
3 est premier, 5 est premier, 7 est premier, 9 n'est pas premier, 11 est premier ; 9 est une erreur de mesure et on le retire. Juste pour être sûr, essayons plusieurs nombres choisis au hasard : 17 est premier, 23 est premier, donc c'est bon.

L'informaticien :
3 est premier, 5 est premier, 7 est premier, 7 est premier, 7 est premier, 7 est premier, 7 est premier, ...

Le chimiste :
3 est premier, 5 est premier, 7 est premier, 9 est premier, 11 est premier, 13 est premier, 15 est premier...",math
"Jésus, debout sur son rocher, parle à ses disciples :
"" y=x² ""
Un des apôtres prend alors la parole :
""Écoute, Jésus, déjà d'habitude on comprend pas grand chose à ce que tu nous dis, mais là, franchement on est perdus.""
Jésus de rétorquer : ""C'est normal c'est une parabole...""",math
"Un mathématicien à son ami :
        - Es-tu fidèle ?
        - Oui, à isomorphisme près.",math
"Si f est injective tout élément possède au plus un antécédent ;
mais qui peut le plus peut le moins, donc tout élément possède au moins un antécédent,
donc f est surjective !",math
"**Le fils de la concierge et du concierge de l'obélisque.**

Il existe parfaitement puisque c'est le produit de deux imaginaires conjugués, qui est réel.",math
"Comment un mathématicien fait cuire des pâtes :

a) Recette de cuisson des pâtes :
Remplir une casserole d'eau avec un filet d'huile
faire bouillir
mettre les pâtes
remuer
faire cuire 7 mn
goûter
égoutter

b) On donne à un mathématicien une casserole d'eau bouillante et on lui demande de faire cuire des pâtes. Comment procède-t-il ?

Il vide l'eau et se ramène au cas précédent.",math